plant,stage,temperature,humidity,light_lux,age_days,N,P,K
Tomato,Seedling,24,70,6000,10,90,40,60
Tomato,Vegetative,26,65,9000,25,180,60,200
Tomato,Flowering,27,60,11000,40,200,70,260
Tomato,Fruiting,28,58,12000,60,190,65,300
Cucumber,Seedling,23,75,5500,8,80,35,55
Cucumber,Vegetative,25,70,8500,20,160,55,180
Cucumber,Flowering,26,65,10000,35,180,65,240
Cucumber,Fruiting,27,60,11000,55,170,60,270
Lettuce,Seedling,21,80,4500,6,60,25,45
Lettuce,Vegetative,23,75,7500,15,120,40,140
Lettuce,Harvest,24,70,8500,28,110,35,160
Spinach,Seedling,22,75,5000,7,70,30,50
Spinach,Vegetative,24,70,8000,18,140,50,150
Spinach,Harvest,25,65,9000,30,130,45,170
Sprouts,Early,20,85,3000,3,40,20,30
Sprouts,Mid,22,80,4000,5,60,30,50
Sprouts,Ready,24,75,5000,7,80,40,70
Chilli,Seedling,24,70,6500,9,85,35,55
Chilli,Vegetative,26,65,9000,22,170,60,200
Chilli,Flowering,27,60,10500,38,190,65,250
Chilli,Fruiting,28,58,11500,58,180,60,290
Capsicum,Seedling,24,72,6000,10,85,38,58
Capsicum,Vegetative,26,66,9000,25,175,58,195
Capsicum,Fruiting,28,60,11500,60,185,62,285
Beans,Seedling,23,74,5500,9,75,32,52
Beans,Vegetative,25,70,8200,20,150,52,170
Beans,Flowering,26,65,9800,35,165,60,230
Peas,Seedling,22,76,5200,8,70,30,48
Peas,Vegetative,24,71,8000,18,140,48,160
Peas,Flowering,25,66,9500,32,155,55,210
Coriander,Seedling,21,80,4800,7,55,22,40
Coriander,Vegetative,23,75,7800,16,115,38,130
Coriander,Harvest,24,70,8200,28,105,34,150
Mint,Seedling,22,78,5000,8,60,25,45
Mint,Vegetative,24,73,8000,20,130,45,150
Mint,Harvest,25,70,8800,32,120,40,165
Onion,Seedling,22,77,5200,9,65,28,48
Onion,Bulbing,25,68,9000,40,150,55,190
Garlic,Seedling,21,78,5000,10,60,26,46
Garlic,Bulbing,25,68,9000,45,145,52,185
Radish,Seedling,22,76,5100,8,70,30,50
Radish,Rooting,24,70,8200,25,135,45,165
